Date,Open,High,Low,Close,Volume
11/28/2001,"114.74","115.17","113.25","113.34","20,247,199"
11/27/2001,"115.62","116.90","114.09","115.43","19,266,400"
11/26/2001,"115.75","116.34","115.07","115.93","13,729,200"
11/23/2001,"114.04","115.75","114.00","115.68","6,716,900"
11/21/2001,"114.50","114.67","113.51","114.04","11,471,100"
11/20/2001,"115.37","115.80","114.64","114.80","16,223,000"
11/19/2001,"114.92","115.85","114.45","115.77","13,682,500"
11/16/2001,"115.08","115.10","113.40","114.36","18,135,400"
11/15/2001,"114.37","115.18","113.93","114.87","19,472,400"
11/14/2001,"115.17","115.40","113.71","114.66","17,591,400"
11/13/2001,"113.44","114.55","113.18","114.55","15,347,100"
11/12/2001,"111.00","112.65","110.00","112.03","26,071,600"
11/09/2001,"112.25","112.96","111.44","112.72","15,897,500"
11/08/2001,"112.87","114.08","111.90","112.60","22,747,801"
11/07/2001,"111.77","113.12","111.64","112.25","19,716,801"
11/06/2001,"110.35","112.48","109.85","112.40","23,245,900"
11/05/2001,"110.12","111.09","109.95","110.68","15,991,300"
11/02/2001,"108.44","109.38","107.87","109.25","17,577,900"
11/01/2001,"106.60","109.01","105.70","108.51","29,807,301"
10/31/2001,"106.90","107.86","105.80","105.80","28,130,500"
10/30/2001,"107.35","107.70","105.56","106.16","26,197,900"
10/29/2001,"110.16","110.55","107.45","107.45","18,733,801"
10/26/2001,"109.95","111.79","109.67","110.32","18,623,301"
10/25/2001,"107.45","110.60","106.74","110.57","27,504,000"
10/24/2001,"108.98","109.45","108.22","108.62","16,065,400"
10/23/2001,"109.96","110.28","108.38","108.91","22,064,500"
10/22/2001,"107.30","109.57","107.21","109.47","17,570,900"
10/19/2001,"107.00","107.91","106.01","107.35","21,916,100"
10/18/2001,"107.82","108.16","106.75","107.42","16,517,400"
10/17/2001,"111.07","111.15","107.65","107.65","28,601,699"
10/16/2001,"109.80","110.62","108.95","109.99","15,883,600"
10/15/2001,"108.63","109.45","108.06","109.30","16,875,000"
10/12/2001,"109.15","109.89","107.30","109.50","31,361,500"
10/11/2001,"108.95","110.30","108.95","110.00","23,008,600"
10/10/2001,"105.80","108.55","105.52","108.32","19,987,400"
10/09/2001,"106.61","106.75","105.60","105.96","15,976,300"
10/08/2001,"106.28","107.30","105.87","106.53","12,971,200"
10/05/2001,"107.25","107.62","105.52","107.23","29,830,199"
10/04/2001,"108.29","108.97","106.75","107.44","32,675,500"
10/03/2001,"104.60","107.88","104.35","107.35","32,070,199"
10/02/2001,"104.00","105.58","103.65","105.58","19,833,600"
10/01/2001,"103.90","104.32","102.83","104.27","20,457,600"
09/28/2001,"102.98","109.92","102.50","104.44","21,787,699"
09/27/2001,"101.25","102.29","100.00","102.27","20,536,801"
09/26/2001,"102.35","102.40","100.43","101.39","18,587,500"
09/25/2001,"100.75","102.00","99.90","101.75","25,466,199"
09/24/2001,"99.73","101.16","99.06","100.70","25,549,801"
09/21/2001,"94.05","98.99","93.80","97.28","49,783,500"
09/20/2001,"100.40","101.81","98.57","98.71","36,212,801"
09/19/2001,"104.10","104.50","98.56","101.95","42,772,102"
09/18/2001,"104.33","105.30","103.36","104.05","22,029,199"
09/17/2001,"101.00","106.40","100.00","104.30","32,393,801"
09/10/2001,"107.70","110.35","107.70","110.05","23,408,699"
09/07/2001,"110.02","111.25","108.63","108.72","33,133,898"
09/06/2001,"112.65","113.30","110.77","110.77","21,654,100"
09/05/2001,"113.70","114.19","111.95","113.70","21,477,699"
09/04/2001,"113.85","116.17","113.37","113.42","24,475,400"
08/31/2001,"113.40","114.77","113.13","114.15","15,985,700"
08/30/2001,"114.85","115.74","112.04","113.32","17,693,100"
08/29/2001,"117.13","117.18","115.17","115.54","16,181,800"
08/28/2001,"118.28","118.49","116.58","116.58","12,046,600"
08/27/2001,"118.97","119.20","118.26","118.31","7,428,100"
08/24/2001,"117.21","119.13","116.74","119.02","11,688,300"
08/23/2001,"116.96","117.52","116.49","116.60","8,745,300"
08/22/2001,"116.75","117.43","115.78","117.02","11,752,900"
08/21/2001,"117.80","118.54","115.80","115.82","14,481,400"
08/20/2001,"116.80","117.90","116.55","117.83","10,417,400"
08/17/2001,"117.65","117.87","116.01","116.75","11,604,600"
08/16/2001,"117.80","118.75","117.00","118.65","10,734,700"
08/15/2001,"119.23","119.61","118.08","118.24","8,520,600"
08/14/2001,"120.14","120.35","118.80","119.27","13,178,100"
08/13/2001,"119.60","119.85","118.82","119.32","7,435,400"
08/10/2001,"118.80","119.84","117.34","119.29","11,173,300"
08/09/2001,"118.70","118.97","117.86","118.88","14,118,500"
08/08/2001,"120.12","121.16","118.43","118.53","15,183,800"
08/07/2001,"120.27","121.20","119.91","120.77","8,865,100"
08/06/2001,"121.35","121.51","120.10","120.30","8,550,400"
08/03/2001,"122.36","122.36","120.90","121.94","10,816,500"
08/02/2001,"123.23","123.25","121.89","122.61","11,070,200"
08/01/2001,"121.97","122.70","121.55","122.11","11,940,800"
07/31/2001,"121.00","122.68","120.80","121.35","11,918,600"
07/30/2001,"121.19","121.35","120.30","120.85","8,547,700"
07/27/2001,"120.83","121.35","119.91","120.81","8,481,800"
07/26/2001,"119.06","120.85","118.56","120.35","12,930,000"
07/25/2001,"117.92","119.48","117.46","119.10","12,088,900"
07/24/2001,"119.00","119.20","116.75","117.80","12,271,000"
07/23/2001,"121.80","121.88","118.95","118.95","8,065,200"
07/20/2001,"121.15","121.94","120.92","121.34","6,705,800"
07/19/2001,"122.18","122.98","120.76","122.07","10,082,900"
07/18/2001,"120.56","121.64","120.06","121.01","7,709,300"
07/17/2001,"120.20","121.95","119.83","121.84","7,470,300"
07/16/2001,"121.77","122.28","120.29","120.71","6,915,300"
07/13/2001,"120.84","122.32","120.62","122.24","10,433,600"
07/12/2001,"119.50","121.47","119.31","121.19","12,004,800"
07/11/2001,"118.10","118.89","117.09","118.38","15,329,700"
07/10/2001,"120.29","120.64","118.21","118.26","8,630,700"
07/09/2001,"119.49","120.54","119.20","119.70","8,339,300"
07/06/2001,"121.31","121.49","119.05","119.05","11,666,200"
07/05/2001,"123.07","123.65","121.66","121.68","5,517,800"
07/03/2001,"123.98","124.10","123.05","124.10","3,303,100"
07/02/2001,"122.80","124.32","122.62","124.13","8,522,300"
06/29/2001,"122.80","124.01","122.26","122.60","9,824,200"
06/28/2001,"122.00","123.94","121.93","122.15","10,271,000"
06/27/2001,"121.60","122.24","120.91","121.48","10,105,100"
06/26/2001,"120.90","122.39","120.57","121.55","8,006,400"
06/25/2001,"123.28","123.44","121.50","121.72","8,406,800"
06/22/2001,"123.49","123.60","122.16","122.85","12,212,000"
06/21/2001,"122.22","124.31","122.15","123.82","12,259,100"
06/20/2001,"121.19","122.86","121.10","122.43","8,787,200"
06/19/2001,"122.38","122.89","120.89","121.79","7,732,300"
06/18/2001,"121.65","122.44","120.91","121.26","11,368,800"
06/15/2001,"120.91","122.40","120.40","121.85","16,821,301"
06/14/2001,"124.18","124.30","121.75","122.00","12,603,300"
06/13/2001,"126.17","126.58","124.65","124.80","7,629,400"
06/12/2001,"124.86","126.74","124.04","125.88","9,368,500"
06/11/2001,"126.71","126.99","125.41","126.10","7,012,200"
06/08/2001,"127.70","127.87","126.14","127.00","8,170,600"
06/07/2001,"127.05","128.35","127.00","128.19","7,355,300"
06/06/2001,"128.83","128.83","127.36","127.73","12,064,900"
06/05/2001,"127.49","129.23","127.27","128.80","9,115,600"
06/04/2001,"126.80","127.43","126.08","127.34","5,634,700"
06/01/2001,"126.20","127.10","125.12","126.73","8,848,300"
05/31/2001,"125.43","126.76","125.26","125.95","9,875,200"
05/30/2001,"126.59","127.09","125.00","125.30","10,041,800"
05/29/2001,"128.23","128.35","126.90","127.08","9,012,300"
05/25/2001,"129.65","129.70","127.90","128.10","7,425,000"
05/24/2001,"129.47","130.00","128.55","129.63","7,905,400"
05/23/2001,"131.05","131.05","129.25","129.25","12,331,000"
05/22/2001,"131.83","132.09","131.07","131.48","8,343,200"
05/21/2001,"129.84","131.84","129.15","131.65","11,532,100"
05/18/2001,"129.09","129.74","128.10","129.74","6,683,300"
05/17/2001,"129.01","130.08","128.56","129.15","11,828,900"
05/16/2001,"124.84","129.20","124.62","128.95","14,916,200"
05/15/2001,"125.55","126.50","124.85","125.98","9,782,200"
05/14/2001,"124.90","125.44","124.46","125.40","7,914,000"
05/11/2001,"126.00","126.49","124.40","125.15","7,736,600"
05/10/2001,"127.26","127.50","125.77","126.02","6,872,400"
05/09/2001,"125.25","126.55","125.06","125.65","9,507,400"
05/08/2001,"126.86","127.10","125.56","126.18","6,952,600"
05/07/2001,"126.86","127.38","126.23","126.24","7,185,200"
05/04/2001,"123.65","127.35","123.44","127.34","12,145,300"
05/03/2001,"126.13","126.15","124.22","125.21","9,926,200"
05/02/2001,"127.41","127.69","126.00","126.82","9,572,900"
05/01/2001,"125.07","127.15","124.60","127.05","10,578,100"
04/30/2001,"126.45","127.27","124.67","124.91","10,764,900"
04/27/2001,"124.92","125.84","124.20","125.78","8,048,900"
04/26/2001,"123.73","125.22","123.50","123.72","10,590,400"
04/25/2001,"121.42","123.67","120.95","123.17","8,249,000"
04/24/2001,"122.52","123.65","121.10","121.58","10,045,300"
04/23/2001,"123.65","123.89","121.91","122.24","8,451,800"
04/20/2001,"124.90","125.40","123.66","124.50","7,626,700"
04/19/2001,"124.25","125.84","123.58","125.65","13,810,400"
04/18/2001,"121.06","126.00","120.69","124.00","32,491,000"
04/17/2001,"117.31","119.66","117.02","119.26","10,924,700"
04/16/2001,"118.29","118.89","116.91","117.60","7,348,700"
04/12/2001,"116.30","118.94","115.96","118.85","9,233,200"
04/11/2001,"118.78","118.99","116.14","116.73","12,722,300"
04/10/2001,"115.45","117.75","115.17","116.65","17,873,301"
04/09/2001,"114.00","114.99","112.78","114.56","9,034,300"
04/06/2001,"113.99","114.40","112.06","113.30","14,937,800"
04/05/2001,"113.30","115.49","112.50","115.05","21,517,600"
04/04/2001,"110.58","112.10","109.30","110.85","14,884,500"
04/03/2001,"113.98","114.15","110.06","110.39","12,836,000"
04/02/2001,"116.30","117.38","113.80","114.20","10,561,000"
03/30/2001,"115.55","116.69","114.50","116.69","9,183,600"
03/29/2001,"114.70","116.50","109.34","115.48","12,061,400"
03/28/2001,"116.90","116.95","114.90","115.04","10,953,300"
03/27/2001,"115.62","118.65","115.28","118.31","12,881,200"
03/26/2001,"115.70","116.27","114.77","115.94","9,943,800"
03/23/2001,"113.25","114.66","111.50","114.48","12,861,700"
03/22/2001,"112.02","112.60","108.04","111.12","28,625,600"
03/21/2001,"114.18","115.26","111.90","112.26","19,004,699"
03/20/2001,"117.90","118.46","114.11","114.20","15,086,900"
03/19/2001,"115.76","117.69","114.82","117.35","10,067,800"
03/16/2001,"117.13","117.40","114.81","115.01","58,515,398"
03/15/2001,"118.45","118.86","117.36","117.68","10,370,300"
03/14/2001,"117.05","119.29","115.75","117.65","19,883,400"
03/13/2001,"119.40","120.44","117.53","120.02","12,887,200"
03/12/2001,"122.34","122.50","117.75","118.08","13,972,900"
03/09/2001,"126.10","126.10","123.11","123.36","10,020,300"
03/08/2001,"126.60","127.24","126.14","127.12","6,055,000"
03/07/2001,"126.90","127.04","125.76","126.98","6,371,700"
03/06/2001,"126.35","127.75","125.49","126.08","6,917,000"
03/05/2001,"124.15","124.78","123.81","124.74","5,293,200"
03/02/2001,"122.50","125.65","122.30","123.61","12,564,300"
03/01/2001,"124.05","124.60","121.75","124.60","14,672,000"
02/28/2001,"126.75","126.84","123.27","123.95","14,831,100"
02/27/2001,"126.80","127.84","125.51","126.44","11,415,000"
02/26/2001,"125.80","127.62","124.50","127.62","11,502,600"
02/23/2001,"125.08","125.54","121.80","124.96","20,173,000"
02/22/2001,"126.35","126.54","123.02","125.81","21,281,600"
02/21/2001,"127.90","128.84","125.50","125.62","10,910,800"
02/20/2001,"131.04","131.14","128.10","128.39","5,760,000"
02/16/2001,"131.00","131.29","129.30","130.40","6,434,900"
02/15/2001,"132.84","133.52","132.50","133.34","5,928,600"
02/14/2001,"132.65","132.65","130.66","132.06","8,400,100"
02/13/2001,"133.70","134.17","132.00","132.26","6,587,600"
02/12/2001,"131.70","133.50","131.70","133.35","5,804,400"
02/09/2001,"133.35","133.35","131.26","131.84","9,913,000"
02/08/2001,"134.80","135.40","133.10","133.12","5,943,300"
02/07/2001,"134.72","135.40","133.68","134.69","5,748,700"
02/06/2001,"135.30","136.70","135.22","135.39","7,106,700"
02/05/2001,"134.80","135.94","134.75","135.79","4,352,900"
02/02/2001,"137.40","137.99","134.75","134.80","8,276,500"
02/01/2001,"137.10","137.95","136.25","137.93","8,239,600"
01/31/2001,"137.40","138.70","136.60","137.02","9,706,900"
01/30/2001,"136.30","137.92","135.79","137.80","7,069,100"
01/29/2001,"135.50","136.90","135.37","136.60","6,705,900"
01/26/2001,"135.16","136.13","134.45","135.88","7,136,800"
01/25/2001,"136.25","137.25","135.66","136.03","10,818,300"
01/24/2001,"136.25","137.31","135.84","136.38","6,199,900"
01/23/2001,"134.47","136.66","134.16","135.97","8,463,100"
01/22/2001,"134.25","135.78","133.56","134.91","7,050,900"
01/19/2001,"136.19","136.19","133.88","134.02","7,782,500"
